       #NI      #im       #nc       #ic                                                      #SMILES
        1   000001         1         1                                                            C
        2   000002         1         2                                                          C=C
        2   000003         1         3                                                          C=O
        3   000004         1         4                                                         CC=C
        3   000005         1         5                                                         CC=O
        4   000006         1         6                                                       C=CC=C
        5   000007         2         8                                                      C=CCC=O
        5   000008         1         9                                                    CC(=C)C=C
        5   000009         1        10                                                      CC=CC=C
        6   000010         1        11                                                     c1ccccc1
        7   000011         2        13                                                 C=CC(=C)CC=O
        7   000012         2        15                                                   C=CC=CCC=O
        7   000013         1        16                                                    Cc1ccccc1
